DFT, Frequency Response Magnitude
Numpoints, 65536
SamplingRate(Hz), 96000.000000
Frequency(Hz), Magnitude(dB)
724.365, 126.2085
725.098, 126.1576
725.830, 126.0469
726.563, 126.0908
727.295, 126.0781
728.027, 126.0370
728.760, 126.1549
729.492, 126.1127
730.225, 125.8981
730.957, 126.0255
731.689, 126.2575
732.422, 126.2400
733.154, 126.2500
733.887, 126.2405
734.619, 126.1499
735.352, 126.2646
736.084, 126.1853
736.816, 126.2334
737.549, 126.3920
738.281, 126.1835
739.014, 126.2679
739.746, 126.2734
740.479, 126.1424
741.211, 126.2661
741.943, 126.2294
742.676, 126.3224
743.408, 126.2603
744.141, 126.3048
744.873, 126.2550
745.605, 126.2920
746.338, 126.3156
747.070, 126.3965
747.803, 126.2892
748.535, 126.3219
749.268, 126.3809
750.000, 126.4690
750.732, 126.4017
751.465, 126.3742
752.197, 126.4129
752.930, 126.4504
753.662, 126.4775
754.395, 126.3349
755.127, 126.4860
755.859, 126.4506
756.592, 126.3837
757.324, 126.4695
758.057, 126.5069
758.789, 126.6840
759.521, 126.4920
760.254, 126.5177
760.986, 126.4912
761.719, 126.5408
762.451, 126.5608
763.184, 126.4725
763.916, 126.5969
764.648, 126.4764
765.381, 126.5001
766.113, 126.5061
766.846, 126.5137
767.578, 126.5590
768.311, 126.5312
769.043, 126.6543
769.775, 126.4758
770.508, 126.6324
771.240, 126.5832
771.973, 126.5725
772.705, 126.6447
773.438, 126.5997
774.170, 126.6329
774.902, 126.6953
775.635, 126.6065
776.367, 126.6376
777.100, 126.6876
777.832, 126.6904
778.564, 126.6495
779.297, 126.7193
780.029, 126.7224
780.762, 126.6610
781.494, 126.7604
782.227, 126.6982
782.959, 126.7952
783.691, 126.8125
784.424, 126.7104
785.156, 126.7912
785.889, 126.7166
786.621, 126.8037
787.354, 126.7948
788.086, 126.7676
788.818, 126.8768
789.551, 126.8941
790.283, 126.9030
791.016, 126.7635
791.748, 126.8169
792.480, 126.9072
793.213, 126.9683
793.945, 126.9246
794.678, 126.9181
795.410, 126.9573
796.143, 126.9294
796.875, 126.9981
797.607, 126.9437
798.340, 126.9559
799.072, 127.0589
799.805, 126.9526
800.537, 127.0589
801.270, 127.0265
802.002, 127.1042
802.734, 126.9980
803.467, 127.1376
804.199, 127.0273
804.932, 127.0712
805.664, 127.0544
806.396, 127.0914
807.129, 127.1439
807.861, 127.0966
808.594, 127.1148
809.326, 127.0908
810.059, 127.1660
810.791, 127.1284
811.523, 127.1306
812.256, 127.2070
812.988, 127.1389
813.721, 127.1472
814.453, 127.1560
815.186, 127.1260
815.918, 127.2050
816.650, 127.1868
817.383, 127.1864
818.115, 127.1621
818.848, 127.2872
819.580, 127.1958
820.313, 127.2338
821.045, 127.2939
821.777, 127.2089
822.510, 127.2457
823.242, 127.2484
823.975, 127.3003
824.707, 127.2943
825.439, 127.3443
826.172, 127.2901
826.904, 127.1811
827.637, 127.2520
828.369, 127.2012
829.102, 127.2360
829.834, 127.2341
830.566, 127.2772
831.299, 127.3017
832.031, 127.2664
832.764, 127.2581
833.496, 127.3238
834.229, 127.2243
834.961, 127.2460
835.693, 127.2703
836.426, 127.2110
837.158, 127.1021
837.891, 127.1646
838.623, 127.2877
839.355, 127.2234
840.088, 127.2643
840.820, 127.2008
841.553, 127.1854
842.285, 127.3462
843.018, 127.2986
843.750, 127.2599
844.482, 127.2258
845.215, 127.1843
845.947, 127.2447
846.680, 127.3499
847.412, 127.2306
848.145, 127.2839
848.877, 127.2783
849.609, 127.9577
850.342, 127.1871
851.074, 127.2651
851.807, 127.2643
852.539, 127.3136
853.271, 127.2617
854.004, 127.3624
854.736, 127.3133
855.469, 127.4100
856.201, 127.2564
856.934, 127.2806
857.666, 127.3598
858.398, 127.5061
