DFT, Frequency Response Magnitude
Numpoints, 65536
SamplingRate(Hz), 96000.000000
Frequency(Hz), Magnitude(dB)
722.900, 133.5907
723.633, 133.6310
724.365, 133.5620
725.098, 133.7149
725.830, 133.6332
726.563, 133.7271
727.295, 133.6408
728.027, 133.7200
728.760, 133.7207
729.492, 133.7179
730.225, 133.7610
730.957, 133.7699
731.689, 133.6259
732.422, 133.7198
733.154, 133.8033
733.887, 133.7900
734.619, 133.7757
735.352, 133.6858
736.084, 133.8188
736.816, 133.8368
737.549, 133.7822
738.281, 133.7975
739.014, 133.8562
739.746, 133.7480
740.479, 133.8492
741.211, 133.8478
741.943, 133.7414
742.676, 133.9169
743.408, 133.8080
744.141, 133.9077
744.873, 133.8770
745.605, 133.9707
746.338, 133.9181
747.070, 133.9793
747.803, 134.0164
748.535, 134.0238
749.268, 133.8890
750.000, 134.1277
750.732, 133.9948
751.465, 133.9910
752.197, 134.1382
752.930, 133.9787
753.662, 134.0355
754.395, 134.0539
755.127, 134.0491
755.859, 133.9972
756.592, 134.0702
757.324, 134.0008
758.057, 134.0502
758.789, 134.1684
759.521, 133.9851
760.254, 134.0262
760.986, 134.0329
761.719, 134.0872
762.451, 134.0568
763.184, 134.1291
763.916, 134.0835
764.648, 134.0419
765.381, 134.1842
766.113, 134.0928
766.846, 134.0644
767.578, 134.1389
768.311, 134.0915
769.043, 134.0276
769.775, 134.2048
770.508, 134.1653
771.240, 134.3087
771.973, 134.2410
772.705, 134.3170
773.438, 134.1750
774.170, 134.1630
774.902, 134.3191
775.635, 134.3112
776.367, 134.2635
777.100, 134.3355
777.832, 134.2915
778.564, 134.3329
779.297, 134.3208
780.029, 134.3702
780.762, 134.3478
781.494, 134.4210
782.227, 134.3331
782.959, 134.4244
783.691, 134.4083
784.424, 134.3486
785.156, 134.4357
785.889, 134.3336
786.621, 134.3673
787.354, 134.3543
788.086, 134.3940
788.818, 134.3669
789.551, 134.2374
790.283, 134.2281
791.016, 134.4478
791.748, 134.3729
792.480, 134.3292
793.213, 134.5221
793.945, 134.4224
794.678, 134.4151
795.410, 134.4326
796.143, 134.3728
796.875, 134.5348
797.607, 134.4226
798.340, 134.4371
799.072, 134.4794
799.805, 134.5207
800.537, 134.4996
801.270, 134.4705
802.002, 134.5105
802.734, 134.4363
803.467, 134.5082
804.199, 134.5773
804.932, 134.4516
805.664, 134.5688
806.396, 134.5572
807.129, 134.5497
807.861, 134.5481
808.594, 134.5781
809.326, 134.5432
810.059, 134.5939
810.791, 134.5939
811.523, 134.6572
812.256, 134.6812
812.988, 134.6873
813.721, 134.7108
814.453, 134.6692
815.186, 134.7493
815.918, 134.6976
816.650, 134.6966
817.383, 134.7483
818.115, 134.7132
818.848, 134.7490
819.580, 134.7130
820.313, 134.6611
821.045, 134.7004
821.777, 134.7124
822.510, 134.7676
823.242, 134.7477
823.975, 134.6755
824.707, 134.6672
825.439, 134.8268
826.172, 134.7001
826.904, 134.7839
827.637, 134.7426
828.369, 134.8206
829.102, 134.7045
829.834, 134.8119
830.566, 134.7849
831.299, 134.8336
832.031, 134.6712
832.764, 134.8153
833.496, 134.9179
834.229, 134.7940
834.961, 134.8189
835.693, 134.8515
836.426, 134.8131
837.158, 134.8286
837.891, 134.7390
838.623, 134.7649
839.355, 134.9124
840.088, 134.8004
840.820, 134.8158
841.553, 134.8518
842.285, 134.7971
843.018, 134.7566
843.750, 134.8712
844.482, 134.7885
845.215, 134.8991
845.947, 134.9337
846.680, 134.8531
847.412, 134.9236
848.145, 134.8860
848.877, 134.9766
849.609, 134.8712
850.342, 134.6167
851.074, 134.8616
851.807, 134.9113
852.539, 134.9064
853.271, 134.9822
854.004, 134.9046
854.736, 134.9765
855.469, 134.8911
856.201, 134.9437
856.934, 134.8956
857.666, 134.9075
858.398, 134.9831
859.131, 134.9680
859.863, 134.8329
860.596, 134.9362
861.328, 134.9307
862.061, 134.9040
862.793, 134.8903
863.525, 134.9282
864.258, 134.9309
864.990, 135.0126
865.723, 135.0600
866.455, 135.0233
867.188, 134.9677
867.920, 134.9116
868.652, 135.1309
869.385, 135.0078
870.117, 135.0358
870.850, 135.1089
871.582, 135.1440
872.314, 135.0864
873.047, 135.0755
873.779, 135.0304
874.512, 135.2102
875.244, 135.0130
875.977, 135.0611
876.709, 135.0839
877.441, 135.1145
878.174, 135.0950
878.906, 135.1718
879.639, 135.2179
880.371, 135.1512
881.104, 135.2091
881.836, 135.1860
882.568, 135.3944
883.301, 135.2623
884.033, 135.2970
884.766, 135.2630
885.498, 135.2564
886.230, 135.3147
886.963, 135.2981
887.695, 135.2832
888.428, 135.2216
889.160, 135.1732
889.893, 135.2916
890.625, 135.2372
891.357, 135.2254
892.090, 135.2268
892.822, 135.2410
893.555, 135.3493
894.287, 135.2712
895.020, 135.3184
895.752, 135.2950
896.484, 135.3874
897.217, 135.4308
897.949, 135.3956
898.682, 135.4380
899.414, 135.4335
900.146, 135.4492
900.879, 135.4828
901.611, 135.4173
902.344, 135.4272
903.076, 135.3844
903.809, 135.4850
904.541, 135.4277
905.273, 135.4084
906.006, 135.4794
906.738, 135.5429
907.471, 135.4581
908.203, 135.5096
908.936, 135.4509
909.668, 135.4716
910.400, 135.5148
911.133, 135.4783
911.865, 135.5101
912.598, 135.4629
913.330, 135.6360
914.063, 135.6179
914.795, 135.5066
915.527, 135.5074
916.260, 135.4960
916.992, 135.5492
917.725, 135.6389
918.457, 135.6446
919.189, 135.5270
919.922, 135.7098
920.654, 135.5262
921.387, 135.5524
922.119, 135.4984
922.852, 135.5479
923.584, 135.6764
924.316, 135.5595
925.049, 135.5714
925.781, 135.5696
926.514, 135.6834
927.246, 135.4928
927.979, 135.7480
928.711, 135.6856
929.443, 135.7302
930.176, 135.7901
930.908, 135.5576
931.641, 135.7332
932.373, 135.7488
933.105, 135.7376
933.838, 135.7797
934.570, 135.8325
935.303, 135.7491
936.035, 135.6860
936.768, 135.7049
937.500, 135.6734
938.232, 135.8808
938.965, 135.7594
939.697, 135.8200
940.430, 135.6409
941.162, 135.6795
941.895, 135.7641
942.627, 135.8247
943.359, 135.8142
944.092, 135.7801
944.824, 135.7427
945.557, 135.8199
946.289, 135.6647
947.021, 135.7854
947.754, 135.7728
948.486, 135.7587
949.219, 135.8114
949.951, 135.8146
950.684, 135.6369
951.416, 135.7832
952.148, 135.8805
952.881, 135.8301
953.613, 135.7263
954.346, 135.8258
955.078, 135.8036
955.811, 135.8454
956.543, 135.7907
957.275, 135.8732
958.008, 135.9137
958.740, 135.8225
959.473, 135.8213
960.205, 135.9227
960.938, 135.8749
961.670, 135.9117
962.402, 135.8811
963.135, 135.8786
963.867, 135.9043
964.600, 135.7517
965.332, 135.8494
966.064, 135.8181
966.797, 135.8113
967.529, 135.9041
968.262, 135.9158
968.994, 135.9643
969.727, 136.0569
970.459, 135.9709
971.191, 135.9781
971.924, 135.9712
972.656, 136.0171
973.389, 136.0679
974.121, 136.0885
974.854, 136.0794
975.586, 136.0310
976.318, 136.0503
977.051, 136.1125
977.783, 135.9938
978.516, 135.9683
979.248, 136.0173
979.980, 136.0050
980.713, 136.0312
981.445, 135.9379
982.178, 135.9964
982.910, 136.0585
983.643, 136.0746
984.375, 135.9654
985.107, 136.0465
985.840, 136.0765
986.572, 136.0658
987.305, 136.0665
988.037, 136.1174
988.770, 136.0597
989.502, 136.1441
990.234, 136.1163
990.967, 136.0984
991.699, 136.0865
992.432, 136.0557
993.164, 136.0210
993.896, 136.0048
994.629, 136.0253
995.361, 136.0855
996.094, 136.0370
996.826, 136.0460
